"Name","Glottocode"
"Gabadi","abad1241"
"Abai Sembuak","abai1241"
Abai Tubu","abai1241"
Aceh","achi1257"
"Bayau_Aceh","achi1257"
"Adzera","adze1240"
"Adzera","adze1240"
"Ngariawan","adze1240"
"Agta of Dikaméy","agta1234"
"Palanan Dumagat","agta1234"
"Kallahan Kayapa Proper","ahin1234"
"Moewe-Haven","aikl1237"
"Moewehafen (Moewehafen proper)","aikl1237"
"Gasmata (Ablingi Island)","akol1237"
"Buhi Bicol","alba1269"
"Alor","alor1247"
"Alune: Seram","alun1238"
"Sapolewa (Soow Kwélé oeloei) (Upper Sapolewa): Seram","alun1238"
"Amahai Soahuku Makariki: Seram","mah1245"
"Amahai: Seram","amah1245"
"Amahai: Seram (mentioned in JB 1939)","amah1245"
"Ambai","amba1265"
"Ambelau: Buru","ambe1248"
"Ambon Malay","ambo1250"
"Ambon Maleis","ambo1250"
"Ampanang","ampa1239"
"Ahus ","andr1248"
"Andra-Hus","andr1248"
"Ansus","ansu1237"
"Sakalava","anta1255"
"Tankarana","anta1255"
"Anuki","anuk1239"
"Sobei-groep Anus","anus1237"
"Penihing Dayak Upper Mahakam","aohe1237"
"Pĕnihingsch","aohe1237"
"Palik","apal1255"
"Apma (spirit-being numerals) [from Gray (2013:92)]","apma1240"
"Mambi","aral1243"
"Tabulahan","aral1243"
"Mukawa","aree1239"
"Mukawa (from SIL word list)","aree1239"
"Báham","argu1237"
"Yalu","arib1240"
"Arifama-Miniafia","arif1239"
"Arop","arop1242"
"Arop-Lokep","arop1243"
"Lokep / Lukep","arop1243"
"Lukep (Arop dialect)","arop1243"
"Lukep (Tolokiwa Island)","arop1243
"Lima (Rumahsosal Nuwetetu) Seram","asil1242"
"Lima (Waraka) Seram","asil1242"
"Gasmata (near Gasmata Government Station)","avau1237"
"Biliau","awad1244"
"Baba Malay","baba1267"
"Bacan","baca1243"
"Bacan","baca1243"
"Badaʔ","bada1261"
"Balaesang","bala1314"
"Melayu Loloan","bali1279"
"Baluan-Lou-Pam (Baluan dialect)","balu1257"
"Ai (Banda)","band1353"
"Banda Malay","band1353"
"Sekola Lonthoir","band1353"
"Sekola Neira","band1353"
"(The) Banggai (language)","bang1368"
"Kepulauan Banggai?","bang1368"
"Bainggai islands","bang1368"
"Banjar","banj1239"
"Martapura","banj1239"
"Banoni","bann1247"
"Banoni (Toberaki village)","bann1247"
"Bantik (mentioned in JB 1939)","bant1286"
"Bantik (mentioned in NGB 1897)","bant1286"
"Bara","bara1369"
"Kayan","bara1370"
"Long Naah Kayan","bara1370"
"Baras","bara1371"
"Bariai","bari1286"
"Barok (Central dialect)","baro1253"
"Barok (Usen dialect)","baro1253"
"Batak Toba","bata1289"
"Batak Toba dialect","bata1289"
Batak Sibolga bata1289"
Batang Toru","bata1289
Samosir Toba Batak","bata1289
Silindung Toba Batak","bata1289
Toba Batak","bata1289
Batak Angkola","bata1290
Batak Si Pirok Mandailing and Angkola area","bata1290
Ula Asahan Labuhan Batu","bata1290
Batak Mandailing","bata1291
Batak Karo","bata1293
Pakpak Batak (from H. Hoetabarat)","bata1294
Pakpak Batak (from J. C. Ligvoet)","bata1294
Magbikin (Ayta near Mariveles Bataan)","bata1297
Batak","bata1301
Gah","bati1253
Grogo","baub1235
Kapore","bebe1252
Beduanas","bedo1237
Berau Malay","bera1262
Melayu Betawi","beta1252
Biak","biak1248
Biak-Nufór","biak1248
Mafor","biak1248
Nufōr","biak1248
Numfor","biak1248
Bam","biem1237
Bam","biem1237
Biga","biga1238
Bih","biha1246
Bilbil","bilb1241
Bilibili","bilb1241
Bokai","bilb1242
Bilba","bilb1242
Kabanga","bilu1244
Bipi","bipi1237
Sisi-Bipi","bipi1237
Boano","boan1243
Bola","bola1250
Xarua","bola1250
Atinggola","bola1252
Bolongan","bolo1268
Bulungan","bolo1268
Bonerateesch","bone1254
Bonggo","bong1287
Bonggi","bong1289
Papitalai","bowa1234
Papitalai ","bowa1234
Usiai","bowa1234
Brooke's Point Palawan","broo1239
Brunei Malay","brun1242
Brunei Dusun","brun1245
Nada","budi1249
Tangkou","budo1241
Bukaua","buga1250
Bukauac","buga1250
Bukauac / Bukawac","buga1250
Boegineesch","bugi1244
Bugis","bugi1244
Bugis (Celebes)","bugi1244
Camba","bugi1244
Bohutu","buhu1237
Bukit","buki1247
Bukitan","buki1248
Buli","buli1255
Bulu","bulu1253
Bungku","bung1269
Buol","buol1237
Buol <Ḇo̱e̱wol̤o>","buol1237
Masarete","buru1303
Bulusu","buru1304
Boesangsch","busa1255
Antalote","bush1250
Kiantalaotsy","bush1250
Bwaidoka","bwai1242
Tubetube","bwan1241
Campalagian","camp1262
Capiznon","capi1239
Jawa Suriname","cari1276
Pasemah","cent2053
Semendo","cent2053
Serawai dialect Manna and Pasemah Ulu manna Bengkulu","cent2053
Serawai dialect Saluma area Bengkulu","cent2053
Naga Bicol","cent2087
Central Subanen","cent2089
Central Subanen","cent2089
Palawan","cent2091
Quezon Palaman","cent2091
Quezon Palawan","cent2091
Kadazan Membakut","cent2100
Kadazan Papar","cent2100
Dusun Tambunan","cent2100
Kadazan Kimanis","cent2100
Tampassuk","cent2100
Manobo - Cinamiguin (from Camiguin Island)","cina1236
